timestamp,front-end,carts,orders
2022-06-05-12-21-36,50141.87476190385,96084.13952380873,13910.92142857143
2022-06-05-12-22-36,48992.9119047619,85336.72428571376,12314.311904761904
2022-06-05-12-23-36,47365.13523809342,74378.87007531509,11061.183809523809
2022-06-05-12-24-36,46906.55047619229,81782.74476190472,12199.67857142857
2022-06-05-12-25-36,50653.19571428299,92825.43238095244,14161.007142857143
2022-06-05-12-26-36,45564.072246931886,71276.53720229206,10761.829434622836
2022-06-05-12-27-36,45603.578571428574,45585.72244517617,6888.656981372133
2022-06-05-12-28-36,47034.02839945634,69297.78439939846,10510.374391212583
2022-06-05-12-29-36,51466.0385347252,89800.60053390551,13394.20300620724
2022-06-05-12-30-36,47235.09285714285,66126.60285714263,10120.602380952383
2022-06-05-12-31-36,47165.010000001814,51977.95714285606,7855.711904761904
2022-06-05-12-32-36,45585.72190475918,66978.63571428595,9739.121428571429
2022-06-05-12-33-36,49079.491904762814,93555.50523809534,13633.725714285714
2022-06-05-12-34-36,47576.61571428662,70891.98380952283,10458.36380952381
2022-06-05-12-35-36,47819.90999571227,75087.80206851017,10496.493407282434
2022-06-05-12-36-36,47720.44190476281,79360.58809523808,10961.311904761904
2022-06-05-12-37-36,47728.42619047619,81398.43476190549,12651.892857142855
2022-06-05-12-38-36,46926.26521399866,48528.288512606894,7914.253616439049
2022-06-05-12-39-36,46249.97343428125,20027.429924143675,3391.657105946661
2022-06-05-12-40-36,45446.337688805026,41431.29271007155,6010.923641264849
2022-06-05-12-41-36,48218.33967649857,69910.55016265642,9531.580397353993
2022-06-05-12-42-36,46106.357619044895,57725.14714285737,8132.6309523809505
2022-06-05-12-43-36,47483.71455756513,71577.74880582836,10237.599167229862
2022-06-05-12-44-36,46000.6366666703,35833.20285714235,6535.292380952379
2022-06-05-12-45-36,44349.55904761724,23539.071904761848,4436.920952380951
2022-06-05-12-46-36,46458.688095238096,67701.23714285744,9092.011904761906
2022-06-05-12-47-36,47508.31428571428,66719.2671428568,9956.721428571427
2022-06-05-12-48-36,47720.90095238004,68618.43142857279,9825.416666666668
2022-06-05-12-49-36,47968.98190476099,54337.986190475734,8188.869047619049
2022-06-05-12-50-36,45701.42476190385,34364.834285713405,5566.473333333333
2022-06-05-12-51-36,46567.51095237733,50693.61666666771,8144.592380952382
2022-06-05-12-52-36,47853.10999999727,91855.0938095229,12972.707142857143
2022-06-05-12-53-36,49582.056666669385,96563.9861904762,13635.954285714284
2022-06-05-12-54-36,48846.57047618684,94806.50793475137,13592.673809523809
2022-06-05-12-55-36,48478.35884920892,94720.99073837699,13341.008568123898
2022-06-05-12-56-36,50179.33047618866,88612.6857142864,12987.801428571427
2022-06-05-12-57-36,48160.07838319189,72182.19029368195,11501.981376692393
2022-06-05-12-58-36,47689.324761903845,54973.57530216927,8311.030952380952
2022-06-05-12-59-36,46918.74666666758,58354.02761904728,7830.306666666665
2022-06-05-13-00-36,46839.1257142839,89130.29142857091,12142.130476190476
2022-06-05-13-01-36,48117.243333335144,80581.54535500632,10610.997625850081
2022-06-05-13-02-36,47617.533809525616,72712.54476190504,9435.445238095235
2022-06-05-13-03-36,47198.88809523809,79657.62285714313,12115.816666666666
2022-06-05-13-04-36,45796.667142858954,80759.86162670636,11932.744761904763
2022-06-05-13-05-36,47905.12674126785,80142.26644531707,10898.488607574174
2022-06-05-13-06-36,48344.02215322761,90399.37508177904,12591.736331160248
2022-06-05-13-07-36,47806.59333333514,90857.51021834854,13951.197619047618
2022-06-05-13-08-36,47857.918321474936,67598.03666020275,10851.307932316875
2022-06-05-13-09-36,42500.7742857161,55503.2652591894,7251.350704678017
2022-06-05-13-10-36,48005.88106440123,91667.26817313759,12063.247353272252
2022-06-05-13-11-36,47983.028095240814,83419.63458210856,11548.845292328271
2022-06-05-13-12-36,47637.43690356369,68652.34604357205,9786.478683509295
2022-06-05-13-13-36,47974.9242857161,74296.04420861902,10046.52661389053
2022-06-05-13-14-36,47489.147951310595,53786.15448263565,7849.973668862709
2022-06-05-13-15-36,46160.56714285442,34594.52235762716,5293.2558127267985
2022-06-05-13-16-36,46303.921904763716,57403.41687160664,7892.428811442285
2022-06-05-13-17-36,47749.01190476191,89818.6171428569,12464.830952380951
2022-06-05-13-18-36,47957.35476190476,93378.72904761916,13369.68761904762
2022-06-05-13-19-36,49219.0057142848,98243.57824551876,13456.386334419696
2022-06-05-13-20-36,49801.040038130646,99079.25255848646,13388.198077119694
2022-06-05-13-21-36,50001.201904760084,96600.72952380976,13635.269047619047
2022-06-05-13-22-36,47780.536190478,70741.5723809531,10898.645238095238
2022-06-05-13-23-36,47199.78190268568,75775.26634296341,10971.635855516086
2022-06-05-13-24-36,44699.615714286614,65832.43949508123,9561.92800599405
2022-06-05-13-25-36,46442.369523811336,54899.048571429834,8070.854285714285
2022-06-05-13-26-36,45191.544285715194,24467.939523808585,4016.3399999999992
2022-06-05-13-27-36,45006.851428572336,22645.489523810378,4233.092857142855
2022-06-05-13-28-36,46584.0485714322,48635.477619046316,8145.269047619048
2022-06-05-13-29-36,47777.753333332425,79004.36571428596,11435.145238095236
2022-06-05-13-30-36,46637.42952380861,57699.885238094634,7686.730476190475
2022-06-05-13-31-36,45437.65190476462,70446.05333333324,9432.511904761905
2022-06-05-13-32-36,48674.98714285805,97554.17190476191,12995.588095238094
2022-06-05-13-33-36,49270.35696598057,63500.43135393962,8641.821424943175
2022-06-05-13-34-36,41415.64952380771,37060.17115631943,5788.027956853188
2022-06-05-13-35-36,48305.891904762815,83887.9055256938,12239.542844456286
2022-06-05-13-36-36,47363.82238095147,67102.98713308848,9728.748807779408
2022-06-05-13-37-36,46155.79142857052,76528.25142857115,11511.311428571425
2022-06-05-13-38-36,46436.81571428662,87804.21333333275,12287.606666666667
2022-06-05-13-39-36,51029.07047619138,101036.71523809545,12862.930476190477
2022-06-05-13-40-36,50228.36944616501,99684.37407171335,13341.621109735383
